"ID"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"
"ENSG00000223972.5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000227232.5"	35	12	9	13	27	16	9	19	14	3	6	14	16	9	22	16	9	20
"ENSG00000278267.1"	11	5	1	5	8	5	3	13	5	4	1	8	6	3	13	5	4	12
"ENSG00000243485.5"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000284332.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000237613.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000268020.3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000240361.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000186092.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000238009.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000239945.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000233750.3"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
"ENSG00000268903.1"	29	11	9	11	9	14	11	9	4	3	2	10	11	2	17	10	10	10
"ENSG00000269981.1"	31	8	11	9	21	13	7	12	3	2	2	18	9	2	19	18	5	8
"ENSG00000239906.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000241860.7"	2	1	3	6	3	5	2	3	1	1	2	5	0	0	4	2	3	1
"ENSG00000222623.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000241599.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000279928.2"	3	2	0	1	0	2	0	0	1	2	1	2	3	4	1	1	3	0
"ENSG00000279457.4"	63	45	40	33	45	47	36	41	28	22	22	42	30	30	37	42	49	37
"ENSG00000273874.1"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
"ENSG00000228463.10"	6	1	3	3	0	2	0	3	4	2	0	3	2	3	2	2	6	3
"ENSG00000286448.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
