"","CD31p_1","CD31p_2","CD31p_3","CD31p_4","Huv_c_1","Huv_c_2","Huv_c_3","Huv_c_4","Huv_ins_1","Huv_ins_2","Huv_ins_3","Huv_ins_4"
"A8MWD9",17.40902,17.35904,16.97153,17.41425,17.87226,18.39514,17.80911,18.13967,16.995737198267,17.89411,16.54299,17.63236
"O15155",15.5554,14.92774,15.70201,15.44354,15.52585,15.75084,15.58049,15.39794,14.66672,15.21193,15.12395,15.58161
"O95183",15.12196,14.79044,15.20378,14.64213,14.22781,14.86904,14.57366,14.67442,14.11396,14.5373,13.78289,14.96364
"O95249",14.55166,14.18381,14.61839,14.43488,14.85534,14.72885,14.82516,14.6109,14.7135,14.25495,14.67034,14.36696
"O95298",14.21445,14.16624,14.24825,14.05503,14.69662,14.13965,14.28312,14.28391,14.47526,13.71524,14.66015,14.16491
"P05204",17.09849,15.61042,16.63694,16.91804,16.58129,17.06108,16.41839,16.30075,17.73772,17.66025,17.92014,16.83318
"P05976",17.45715,17.96637,17.04246,17.67068,17.25171,17.24476,16.71405,17.4706,17.17811,17.41997,16.60863,17.103
"P08493",16.34843,15.48973,16.28819,16.4989,16.14705,16.67727,16.65481,16.73873,16.3528,15.82821,15.94478,16.03301
"P13164",15.41484,15.09865,14.90767,14.86797,14.39418,14.90903,14.39105,14.27635,14.6712743884631,15.48391,14.35974,15.65902
"P23434",17.00562,17.42299,16.69119,17.34059,16.49268,16.86969,16.46895,16.89551,16.78115,17.10762,16.54066,16.67211
"P51808",14.94699,14.79637,14.92569,14.85836,14.18219,14.82717,14.4308,14.48708,14.61953,14.55006,14.48656,14.66348
"P61966",14.19655,14.13275,14.5425716526914,14.09491,14.57145,14.26242,14.60371,14.50306,14.06515,14.0158,14.37794,14.53719
"P82921",13.64925,14.41611,13.76879,14.1587,14.70541,14.94974,14.71393,14.58438,14.81276,14.60208,14.42805,14.11177
"Q13158",14.11007,13.6827996692956,13.57619,14.12612,14.60108,14.77362,14.37927,14.72503,14.78031,13.9617,14.63109,13.81923
"Q15043",14.00528,13.5325653102997,14.22102,13.65435,14.66588,14.10323,14.17901,14.032,14.02316,13.7182651046942,14.41789,14.32946
"Q15814",17.2779895126639,17.38333,16.77929,17.58104,17.21153,17.36958,17.1503,17.46131,17.51396,17.64186,17.27421,17.28948
"Q5SNT2",14.03032,14.22966,14.21129,13.828,14.06414,14.30017,14.02142,14.07271,13.61579,14.18632,13.61272,14.00166
"Q5T0D9",14.228,13.94187,14.0830951341554,14.39763,13.57631,13.56861,13.59823,13.50564,14.61148,14.0995,14.20668,14.44759
"Q6QNY1",14.46535,14.70623,14.17072,14.77487,14.25099,14.20926,14.2346,14.34766,14.48187,14.40229,14.14471,14.38412
"Q7Z7F7",13.9659,14.70054,13.95091,14.17284,13.99702,14.06076,13.88265,13.87086,14.43843,14.55468,13.98799,13.94553
"Q86T03",14.77182,14.56594,14.77725,14.81119,14.22336,14.2732552088339,14.25193,13.99817,14.82639,14.60612,14.68694,14.87978
"Q86V85",13.32172,12.43837,13.4628638571846,12.79944,13.84042,13.87645,13.55017,13.7152,13.46794,13.29777,13.94523,13.80186
"Q8IY95",15.00899,14.80994,15.30693,14.82964,14.34428,14.95458,15.19047,14.70863,14.93384,14.58407,14.93957,15.05482
"Q8N5N7",15.05187,15.24211,14.6659967718132,15.38603,14.79711,15.36198,15.13917,15.48358,14.30879,15.31649,13.94884,14.58312
"Q8NBK3",15.1741,14.84511,14.39223,15.46418,14.79652,14.50255,14.63671,15.05528,15.1953,14.54219,14.91892,14.75753
"Q8NBM8",13.88107,13.61859,14.22644,13.7312643976588,14.02337,13.76801,13.69466,13.53554,13.73888,13.77843,13.75181,14.30568
"Q969M3",15.07741,14.61195,15.4169,14.87456,14.94546,14.6056,14.98027,14.65582,15.08069,14.85454,15.12347,15.66726
"Q96CP2",13.95627,14.22537,13.71615,14.24866,13.90052,14.24978,13.81945,14.07214,14.15455,14.02774,13.82392,13.80613
"Q96EV8",16.08429,15.96477,15.99667,15.21603,14.13543,15.26716,15.408190848915,15.55615,14.15544,15.8029,15.28156,15.79634
"Q96GC5",15.61297,15.26921,15.32301,15.37681,15.40303,15.70589,15.21729,15.2777,15.9754,15.58543,15.94556,15.15737
"Q96H20",13.91724,14.15632,13.99036,14.1162544981113,14.14818,14.30552,14.2403,14.30129,14.19312,14.19305,14.09384,14.1206346506728
"Q99720",19.1133,19.1457960070529,18.74762,19.10649,18.66197,19.04891,18.36162,18.69933,18.60613,18.83237,18.35139,18.5234161989578
"Q9BXJ8",14.49106,14.2023,14.72473,14.2753825509027,13.7725,13.929,13.97067,13.6774738135901,14.73596,14.21662,14.87489,14.96959
"Q9HD33",15.09029,15.15124,14.93429,15.16382,15.47795,15.40523,15.65599,15.52407,15.387,15.25681,15.39788,15.46094
"Q9NWB6",14.24422,14.7139365156491,14.43263,14.8419,14.64458,14.50834,14.5653703812942,14.62987,14.4012569243449,14.64527,14.2405,14.4491
"Q9UET6",14.3218437550148,13.98372,14.16418,14.36959,14.76104,14.83344,14.6681,14.90528,14.45937,14.37292,14.25202,14.50703
"Q9Y2Y0",14.60745,14.42314,14.71151,15.00564,15.08729,15.07388,14.98426,15.27939,14.94738,14.74657,14.70083,14.57282
"Q9Y676",14.6497119137853,14.86938,14.44139,14.84631,14.48002,14.72171,14.44196,14.4624,14.68696,14.87522,14.47046,14.51061
"A0A087WU03",17.34168,17.64017,17.1532475243598,17.87953,18.06119,17.81749,17.67442,18.08409,17.43046,17.64043,17.15555,17.262602841716
"P61244",14.38588,14.5363,14.04877,14.6674415094093,13.9606473774653,13.87155,13.97134,14.29736,14.21039,14.18228,13.90479,13.90113
"G5E9U6",15.34062,14.43647,15.0361226109884,15.67711,15.41473,14.77208,15.2685,15.19938,16.01256,14.8776968820703,15.59276,15.07698
"Q12955",17.8340010328026,17.2889,17.36493,18.12032,18.15839,17.56316,17.81094,17.83855,18.0385458497389,16.98315,17.83411,17.73921
"L0R6Q1",15.16276,15.60117,15.26131,15.6922058997948,15.84699,15.87983,15.58407,16.00268,15.76537,15.6655504869811,15.39978,15.2466
"O00193",15.76625,16.49946,15.97125,16.3877,15.95773,15.93263,15.54639,16.3156,15.44542,16.04586,14.81886,15.6971
"O00422",15.3169,15.25378,15.04244,15.26315,15.35369,15.37406,15.19945,15.42778,15.35691,15.32272,15.14325,14.86032
"O14763",14.69704,13.78666,14.3403125222759,14.21978,14.17594,13.93765,14.12774,14.13745,14.86829,13.89513,14.42799,14.61761
"O14880",16.45331,16.13933,16.21431,16.0906,16.31576,15.68358,16.04182,15.56996,15.3052,15.77514,16.10479,16.64723
"O14907",16.92153,17.09553,16.65819,17.16419,16.66157,16.54193,16.53536,17.00322,16.82968,16.8959,16.48961,16.74237
"O15127",15.86279,15.36294,15.76532,15.60648,15.31796,15.59638,15.52383,15.30586,15.85401,15.62515,15.78482,16.07428
"O15212",15.01119,14.8931,14.57178,15.34359,15.04648,15.02479,15.01042,15.22656,15.36814,14.59614,14.65493,14.83266
"O15260",15.66789,15.07658,16.18928,15.98148,16.42379,16.39663,16.19071,16.04715,16.48566,16.25597,16.44344,17.43542
"O43670",15.36315,15.92464,15.99857,15.94711,15.29926,15.43401,15.61864,15.45306,15.55793,15.81836,15.52888,15.27577
"O60232",15.07914,14.99462,14.7241415141484,15.5287,15.42279,15.44105,15.17944,15.66123,15.26435,15.23557,14.91868,14.84846
"O60573",15.75836,15.64727,15.19945,16.19817,16.01143,16.00159,15.96061,15.86687,15.66432,15.85493,15.65402,15.71653
"O60828",14.43728,14.0997,14.59374,14.62627,15.21638,14.43877,15.10896,15.21576,14.54319,14.40514,14.41013,14.48458
"O75381",15.00464,14.9726,14.67252,15.0597382623255,15.18626,15.21411,15.01719,15.11041,15.07096,14.97635,14.98634,14.71444
"O75391",14.77673,15.01353,14.74328,15.04727,14.90493,14.66083,14.99904,15.18888,14.71171,15.10182,14.55866,14.64897
"O75781",15.20911,14.94957,15.03334,15.42071,14.90957,14.82295,14.97646,15.05717,15.22313,14.71962,14.95694,15.00461
"O95197",15.88897,16.24065,16.55656,16.42857,16.29388,16.14664,16.26406,16.28406,16.24939,16.34302,16.3826,16.7392
"O95218",15.83085,15.37741,15.641,16.0247179190441,16.53158,15.67603,15.81852,16.38481,16.14405,15.3276225107771,16.06881,15.13114
"O95777",15.3015,15.01299,14.92875,15.78487,15.31228,16.23943,15.43493,16.07901,15.74006,16.02892,15.52038,15.34009
"P05161",15.96332,15.32756,15.42887,15.45322,15.54888,15.53483,15.53418,15.56104,15.71388,15.89537,15.68959,15.51407
"P07919",15.99962,15.85777,15.3341,16.48939,15.77397,16.20148,15.54263,15.89394,16.40322,16.45481,16.15264,16.18136
"P14209",15.583,14.9613,15.23452,15.37951,16.01896,15.42153,15.75702,16.05402,15.725,14.65559,15.41922,15.34417
"P17026",17.12483,17.114,17.36285,17.1726161733105,15.75803,16.04898,15.49118,15.70484,16.840471217035,16.86341,16.73458,17.5621
"P17050",14.97338,15.13936,14.61593,15.05661,14.5894,15.3767,14.63651,14.98776,14.93687,14.72523,14.72562,14.39519
