"","CD31m_1","CD31m_2","CD31m_3","CD31m_4","Ost_c_1","Ost_c_2","Ost_c_3","Ost_c_4","Ost_ins_1","Ost_ins_2","Ost_ins_3","Ost_ins_4"
"A8MWD9",16.82011,17.16688,17.04281,16.3814397016822,16.96448,17.00804,16.93442,16.585083769551,17.16486,16.62996,16.67855,16.65368
"L0R819",14.42721,14.04529,14.5121,14.15154,14.39617,14.1073,14.12736,13.71627,14.26961,13.98039,14.34654,13.99925
"O00399",13.74669,14.24617,14.88631,13.5834194648092,14.3296,14.05387,13.95728,13.94567,13.92183,13.43351,13.8749,13.8807
"O14548",14.36195,14.129,14.25571,14.4319477670028,13.99072,13.84318,14.16684,14.15504,14.07431,13.72659,14.26019,13.93423
"O15116",15.91787,16.0268,16.55219,15.8067571716419,16.14266,16.77324,15.9761,16.08194,16.2229,15.95454,16.1397576517193,16.0883
"O15155",14.90255,14.8787,14.24998,14.9142746938477,14.8085,14.98327,15.28028,15.0619312685171,15.15143,15.05867,14.90815,14.8814
"O43181",14.94451,14.77541,15.33878,14.64307572017,15.20183,14.65583,14.6263513166639,14.62853,14.79498,14.1959,14.75757,14.566319017756
"O95249",14.76232,14.23714,14.58702,14.68406,14.37429,14.37357,14.75386,14.73337,14.80691,14.94798,14.64383,14.7227
"P05976",17.35472,17.83906,17.8718,17.19978,17.54611,17.57844,17.51997,16.77049,17.73306,17.06315,17.76829,17.20394
"P14406",17.16821,17.67787,17.13583,16.7217295122959,17.44086,17.51093,17.22069,17.11477,17.35424,17.06683,16.93188,17.41926
"P17405",14.99749,15.11541,14.12508,14.8565058000636,15.36429,15.20594,15.50393,15.5014729757661,15.10675,14.64503,14.8211,15.182132712516
"P17544",13.19294,13.41485,13.82587,12.8767551707576,13.40509,13.12119,12.73214,12.5404312721163,13.17934,12.8102401820633,12.95332,12.53552
"P23434",16.75011,16.7217,16.89294,16.61629,16.5184,16.50221,16.23927,16.22005,16.0295,15.50856,16.54526,15.62118
"P82914",13.765905910567,13.59177,13.92277,13.44719,13.76147,13.73362,13.69803,14.29277,14.1019028332781,14.74661,13.87102,14.32825
"P82921",14.40371,14.28891,14.61629,14.7233867781229,14.3691,13.9245,14.10022,14.64628,14.44701,14.78203,14.59942,14.74497
"Q13158",14.12079,13.84089,14.41914,13.8599787726373,14.65762,14.31965,14.49381,14.4873,14.58822,14.5432,14.09484,14.91368
"Q13287",13.93055,14.14075,13.95672,13.6916458361172,14.31775,13.93602,13.91607,13.71433,14.04331,13.58795,13.90213,13.89298
"Q15043",14.40977,13.9659,13.88657,15.10067,14.29123,14.38114,15.18635,14.90027,15.26043,15.41779,15.08666,15.14836
"Q16585",13.2697347459855,13.31245,12.34268,13.95598,13.4881,13.83248,13.16451,13.86357,13.48326,14.17897,12.99848,13.45018
"Q5JTJ3",13.773,13.5854937881975,13.97107,13.44489,13.8434,13.27671,13.10589,13.46452,13.24146,12.8345405656196,13.33244,13.2782
"Q5SNT2",13.24046,13.85979,13.2875,13.7183708219732,12.6425374572506,13.63097,13.07108,13.24788,12.46787,13.66479,13.18988,12.88247
"Q5T0D9",14.030988038749,13.72896,14.04196,13.92566,14.76023,14.0751397686542,14.03664,14.6499,14.77041,14.1350445736606,14.78156,14.62789
"Q6QNY1",14.67716,14.7402,14.80018,14.5777022854082,14.78896,14.78496,14.53415,14.62771,14.4208,13.87974,14.60699,14.45262
"Q7Z4F1",15.06282,13.57541,13.65118,15.14623,15.52531,14.24953,15.47885,15.33266,15.66424,13.84819,15.50576,14.85964
"Q86T03",14.92331,14.51025,14.04832,14.23519,15.65902,15.21709,15.21136,16.24078,15.07563,14.81596,14.87019,15.02849
"Q8IY95",14.76039,14.4994679473104,14.24369,15.29818,15.03642,14.7576518989392,15.16628,15.13482,14.96504,14.19858,15.25715,14.35511
"Q8WU79",14.25045,14.01149,14.64735,13.9178351246692,14.26862,13.98223,14.30584,13.40786,14.24798,14.64527,14.16016,13.3404
"Q969M3",15.01015,14.7432,14.30095,15.3696,14.30609,14.98326,15.14572,15.11533,14.66091,15.1947,15.07258,15.0633
"Q96CP2",13.79739,13.63114,14.1815,13.4794545722509,13.27444,13.40554,13.06506,13.0148243368203,13.20874,13.12606,13.10505,13.12782
"Q96EM0",14.66865,15.27104,14.84731,14.8674929632149,14.66438,15.06665,14.6966191462237,15.03162,14.31877,14.44807,14.7025,14.88895
"Q96EV8",14.22709,14.64993,14.53113,14.27115,14.71451,14.53176,14.49636,14.23659,14.35586,14.39585,14.46563,14.18649
"Q96GC5",15.45335,15.1247,15.26201,15.017117797653,15.35765,15.34095,14.95606,15.22055,15.3192,15.12708,14.74894,15.14704
"Q96H20",14.15609,14.11399,14.25778,14.1969655071277,14.47163,14.25306,14.18469,14.01519,14.3707,13.72647,14.55685,13.68531
"Q96HD1",14.41354,13.63084,14.16249,14.4002807495523,14.14649,13.8565107871374,14.78956,14.26464,14.14661,13.96838,14.47484,14.54666
"Q9H2H8",15.30163,15.40241,14.97154,14.34442,15.57706,15.36731,14.30148,14.86274,15.23602,15.36976,14.4978860102704,15.09203
"Q9HD33",15.17116,14.69386,15.32006,15.1867665173688,15.0987,14.8427,15.06489,15.14431,15.365,15.57962,15.22829,15.19872
"Q9P0R6",14.44899,14.65129,14.74685,14.4886292933115,14.4602,14.53601,14.2047,14.26075,14.36158,14.17355,14.55041,14.2497979356091
"Q9UET6",14.09436,14.15636,14.30625,14.20152,14.08447,14.30192,14.25877,14.08195,14.07024,13.9186,14.44179,14.0288347728644
"Q9Y2Y0",14.0218,14.72958,14.7281,14.21867,14.65658,14.56688,14.46856,14.53903,14.63844,14.49959,14.5593,14.65451
"Q9Y676",14.78636,14.58538,14.62016,14.47392,14.64569,14.3652,14.1374,14.42817,13.83705,14.42105,14.4854,14.41131
"A0A5F9YFS9",14.23377,13.58778,13.74143,14.22407,13.8915,14.06188,14.35386,14.26208,14.21607,14.09065,14.0329,14.33173
"Q9NQT5",16.26049,15.53513,16.26168,16.5902,15.72021,15.22512,15.16896,15.40927,15.54,15.79191,15.74997,15.0426
"Q96AQ8",14.8572,14.86932,14.52496,15.1300414121036,14.8794868234772,14.99543,14.85449,15.34696,14.99156,15.1476,14.97635,14.93656
"L0R6Q1",15.56052,15.99677,16.09228,15.5168368223274,16.04759,15.4755,15.58915,15.65036,16.0492,15.29325,15.98109,15.8445
"O00193",15.8487,15.80651,15.95054,15.70666,15.5342,15.44638,14.44157,15.17674,14.70072,14.680377513654,15.25383,14.96755
"O00422",14.94539,15.14354,15.6429,14.92253,14.83818,14.53808,14.41779,14.36924,14.68258,14.26418,14.65695,14.81045
"O14880",15.60686,16.31077,15.12191,14.85734,16.40209,16.96841,17.28097,17.3478,16.994,16.98667,16.27923,17.42771
"O14907",16.05746,17.20837,17.11911,15.78296,16.78307,16.98872,16.71395,16.71599,16.47208,16.28778,16.9516,16.76824
"O15127",15.62862,15.46607,15.05341,15.7673,15.51048,16.04923,15.59045,15.9961,15.73847,15.95879,15.84079,15.61369
"O15212",14.98058,14.70971,15.33763,14.6825842060142,14.88377,14.71724,14.65707,14.6655359059494,14.74714,14.26134,14.63882,14.77777
"O15260",16.32311,16.42187,15.40764,16.1761083600388,16.35522,16.77303,17.14553,16.77888,17.14179,17.6819,16.39223,17.70276
"O15446",14.3299,13.89792,14.61558,14.2465,13.92177,13.44497,13.63157,13.32503,14.07995,13.6515765375771,13.73484,13.62762
"O15533",15.56916,15.27772,14.83526,15.3499949254199,15.41066,15.4272,15.55224,15.58428,15.35927,15.6042,15.07184,15.54085
"O43670",15.66439,15.43369,15.94281,15.1987450926838,15.27795,15.25429,15.22461,14.73927,15.20043,15.11893,15.17925,15.13665
